,title,runtime,maturity,studio,Genre,avg_votes,votes,country
0,Marooned,129.0,All,Sony Pictures Entertainment,Action,5.9,4524.0,USA
1,Dredd,95.0,18+,Lionsgate Films,Action,7.1,246284.0,"UK, South Africa, USA, India"
3,Back to the Future Part III,118.0,7+,MCA Universal Home Video,Action,7.4,393950.0,USA
6,Never Back Down,113.0,13+,Summit Entertainment,Action,6.6,94632.0,USA
7,The Devil's Double,108.0,18+,Lionsgate,Action,7.1,59707.0,"Belgium, Netherlands"
9,Cliffhanger,112.0,18+,Sony Pictures Home Entertainment,Action,6.4,117604.0,"USA, Italy, France"
11,The Boondock Saints II: All Saints Day,138.0,18+,Apparition,Action,6.3,60835.0,USA
12,Kill Order,77.0,16+,RLJ Entertainment,Action,4.1,764.0,Canada
13,'71,99.0,18+,Roadside Attractions,Action,7.2,49740.0,UK
14,Reset,106.0,13+,Well Go USA Entertainment,Action,5.3,999.0,China
15,American Ultra,95.0,18+,Lionsgate Pictures,Action,6.1,82946.0,"USA, Switzerland"
16,Convoy,111.0,7+,Lionsgate,Action,6.4,14811.0,USA
18,Beowulf,114.0,13+,Paramount Pictures,Action,6.2,159693.0,"USA, UK"
20,24 Hours to Live,93.0,18+,Saban Films,Action,5.8,12069.0,"South Africa, China, USA"
21,Tarzan,94.0,7+,Buena Vista Pictures,Action,4.8,12043.0,"Germany, USA"
23,Captain America: The First Avenger,124.0,13+,Paramount Pictures,Action,6.9,723473.0,USA
25,The Shootist,99.0,7+,Paramount Home Video,Action,7.6,21629.0,USA
26,The Vikings,116.0,13+,MGM Home Entertainment,Action,7.1,12645.0,USA
27,The Return of Swamp Thing,87.0,13+,Sony Pictures Home Entertainment,Action,4.7,4174.0,USA
28,Gone in 60 Seconds,97.0,16+,H.B. Halicki Mercantile Co.,Action,6.4,8156.0,USA
29,The A-Team,118.0,13+,20th Century Fox,Action,6.7,243142.0,"USA, UK"
31,The Expendables 3,126.0,13+,Lionsgate Pictures,Action,6.1,165983.0,"USA, France, Germany, Bulgaria"
33,Biker Boyz,110.0,13+,Dreamworks Distribution LLC,Action,4.7,12621.0,USA
34,The Last Stand,107.0,18+,Lionsgate Films,Action,6.3,131686.0,USA
36,Vikingdom,115.0,16+,Epic Pictures Releasing,Action,3.3,3197.0,"Malaysia, USA"
37,Kill Command,99.0,16+,Vertigo Films,Action,5.7,12864.0,UK
38,The Time Machine,95.0,13+,MGM Home Entertainment,Action,6.0,117239.0,"USA, United Arab Emirates"
42,The African Queen,105.0,13+,Twentieth Century Fox Home Entertainment,Action,7.7,70236.0,"UK, USA"
43,Platoon,119.0,13+,Orion Pictures,Action,8.1,373386.0,"USA, UK"
45,Donovan's Reef,108.0,7+,Paramount Pictures,Action,6.9,7598.0,USA
46,The Final Countdown,102.0,7+,Live Home Video,Action,6.7,20927.0,USA
48,Hot Rod,87.0,13+,Paramount Pictures,Action,6.7,75710.0,USA
50,The Day After Tomorrow,123.0,13+,20th Century Fox,Action,6.4,408418.0,USA
52,The Spy Next Door,94.0,7+,Lionsgate,Action,5.4,39646.0,USA
54,Mad Max,93.0,18+,s,Action,6.9,187876.0,"Australia, USA"
56,The Colony,94.0,16+,Image Entertainment,Action,5.3,42548.0,"Canada, USA"
57,True Grit,128.0,All,Paramount Pictures,Action,7.6,305020.0,USA
59,Thunderheart,119.0,18+,Sony Pictures Home Entertainment,Action,6.8,13704.0,USA
61,Star Trek II: The Wrath of Khan,113.0,16+,Paramount Pictures,Action,7.7,110769.0,USA
64,1492: Conquest of Paradise,150.0,13+,Paramount Home Video,Action,6.5,27667.0,"UK, France, Spain"
65,The Black Hole,111.0,13+,Walt Disney Productions,Action,6.0,22902.0,USA
66,Lord of War,121.0,18+,Lions Gate,Action,7.6,289908.0,"USA, Germany, France"
67,Open Range,138.0,18+,Buena Vista Pictures,Action,7.4,65567.0,USA
70,The Darjeeling Limited,91.0,18+,Fox Searchlight Pictures,Action,7.2,176784.0,USA
71,Dragonslayer,109.0,7+,Paramount Pictures,Action,6.7,14686.0,"USA, UK"
72,Shaft,99.0,18+,Paramount Pictures,Action,6.4,41924.0,USA
78,The Beastmaster,118.0,13+,MGM Home Entertainment,Action,6.2,20053.0,"USA, West Germany"
80,Saturn 3,87.0,18+,Associated Film Distribution,Action,5.2,8178.0,UK
81,The Angry Red Planet,83.0,13+,American International Pictures (AIP),Action,5.3,2782.0,USA
82,Crocodile Dundee in Los Angeles,94.0,13+,Paramount,Action,4.8,23190.0,"Australia, USA"
83,Scorched Earth,93.0,18+,"Lighthouse Pictures, Inc.",Action,4.5,2519.0,"Canada, USA"
84,Out of Time,92.0,16+,MGM/UA,Action,6.5,56049.0,USA
85,Paycheck,118.0,13+,Paramount Pictures,Action,6.3,101841.0,"USA, Canada"
87,Hondo,84.0,7+,Batjac Productions Inc.,Action,7.1,9207.0,USA
88,Hotel Artemis,93.0,18+,Global Road Entertainment,Action,6.1,42145.0,"UK, USA"
90,The Terminator,107.0,18+,Orion Pictures Corporation,Action,8.0,784356.0,"UK, USA"
92,Hard Rain,96.0,18+,Paramount Home Video,Action,5.9,31649.0,"USA, UK, Denmark, France, Japan, New Zealand, Germany, Australia"
93,Star Trek: The Motion Picture,131.0,All,Paramount Home Video,Action,6.4,79886.0,USA
95,Warlock,103.0,18+,Trimark,Action,6.2,14631.0,USA
97,The Lost World,98.0,7+,eRealBiz,Action,3.9,788.0,"Canada, USA"
101,Solarbabies,94.0,13+,MGM Home Entertainment,Action,4.8,3930.0,USA
102,Australia,165.0,13+,20th Century Fox,Action,6.6,117975.0,"UK, Australia, USA"
106,The Great Escape,172.0,13+,United Artists,Action,8.2,219677.0,USA
107,The Prestige,130.0,13+,Buena Vista Pictures,Action,8.5,1155723.0,"UK, USA"
109,The Phantom,100.0,13+,Paramount Home Video,Action,4.9,31891.0,"Australia, USA"
112,Black Moon Rising,99.0,18+,Starmaker Entertainment,Action,5.5,5095.0,USA
113,Robot Overlords,90.0,13+,Vertical Entertainment,Action,4.6,6593.0,"UK, Canada"
114,Max Payne,99.0,13+,20th Century Fox,Action,5.4,120941.0,"USA, Canada"
116,Survivor,92.0,13+,Alchemy,Action,4.0,1867.0,USA
119,In the Name of the King: A Dungeon Siege Tale,121.0,13+,Freestyle Releasing,Action,3.8,43913.0,"Germany, Canada, USA"
120,The Monster Squad,82.0,13+,Vestron Video,Action,7.1,27232.0,USA
121,Warrior,139.0,13+,Lionsgate,Action,8.2,427585.0,USA
123,Inception,148.0,13+,Warner Bros. Pictures,Action,8.8,2002816.0,"USA, UK"
126,Enemy at the Gates,131.0,18+,Paramount Pictures,Action,7.6,238274.0,"Ireland, UK, France, Germany, USA"
127,The Man Who Shot Liberty Valance,123.0,13+,Paramount Home Video,Action,8.1,67255.0,USA
128,The Program,112.0,18+,Buena Vista,Action,6.5,15977.0,"UK, USA, France"
132,Jabberwocky,105.0,7+,Sony Pictures Entertainment,Action,6.2,12901.0,UK
133,Hancock,92.0,13+,Columbia Pictures,Action,6.4,437405.0,USA
135,Unlocked,98.0,18+,Lionsgate Premiere,Action,6.2,28056.0,"Czech Republic, Switzerland, UK, USA, France"
136,Support Your Local Gunfighter,92.0,13+,United Artists,Action,6.9,4976.0,USA
137,Papillon,133.0,18+,Twentieth Century Fox Home Entertainment,Action,7.2,49312.0,"Czech Republic, Spain"
139,The Peacemaker,123.0,18+,Dreamworks,Action,5.9,53180.0,USA
141,Escape Plan 2: Hades,93.0,18+,Summit Entertainment,Action,3.8,26813.0,"China, USA"
142,7 Guardians of the Tomb,90.0,18+,Gravitas Ventures,Action,4.4,3087.0,"China, Australia, Russia, Thailand"
143,Cool World,101.0,13+,Paramount Home Video,Action,4.9,20371.0,USA
144,Clear and Present Danger,141.0,13+,Paramount Home Video,Action,6.9,87565.0,"USA, Mexico"
145,Resident Evil: Afterlife,96.0,16+,Sony Pictures/Screen Gems,Action,5.8,159831.0,"Germany, France, Canada, UK, China, USA"
146,Shottas,98.0,18+,Sony Pictures,Action,6.2,3993.0,"USA, Jamaica"
147,Iron Eagle,116.0,13+,TriStar Pictures,Action,5.5,13106.0,"USA, Israel, Canada"
148,Shooter,125.0,18+,Paramount Pictures,Action,6.5,101.0,India
152,Iron Sky,92.0,18+,Entertainment One Pictures,Action,5.9,90446.0,"Finland, Germany, Australia, France, Norway, Belgium, Denmark, UK"
153,Virus,108.0,18+,Universal,Action,8.0,3659.0,India
161,Gringo,110.0,18+,Amazon Studios and STX Entertainment,Action,6.1,25700.0,"Australia, USA, Mexico"
162,Gunfight at the O.K. Corral,122.0,13+,Paramount Pictures,Action,7.2,13635.0,USA
163,Tekken,91.0,18+,Crystal Sky Pictures,Action,4.8,25893.0,"Japan, USA"
165,The Sons of Katie Elder,121.0,13+,Paramount Pictures,Action,7.2,14117.0,USA
166,Replicant,100.0,18+,Artisan Entertainment,Action,5.4,13508.0,USA
167,Marauders,107.0,18+,Emmett/Furla Films,Action,5.5,18512.0,"Canada, USA"
169,Most Wanted,124.0,18+,New Line Home Entertainment,Action,5.6,5590.0,USA
170,Charlie's Angels,98.0,13+,Columbia Pictures,Action,4.7,49824.0,"Germany, USA"
174,The Expendables,103.0,18+,Lionsgate Films,Action,6.5,321130.0,"USA, Bulgaria, Spain, Germany"
178,Small Soldiers,109.0,13+,Dreamworks,Action,6.2,90196.0,USA
180,Basic,98.0,18+,Sony Pictures Entertainment,Action,6.5,58487.0,"Germany, USA"
182,Young Sherlock Holmes,108.0,13+,Paramount Pictures,Action,6.8,18801.0,USA
183,The Expendables 2,102.0,18+,Lionsgate,Action,6.6,288369.0,"USA, Germany, Bulgaria, China"
185,Rescue Dawn,125.0,13+,MGM,Action,7.3,99594.0,"USA, Luxembourg"
186,Star Trek Beyond,122.0,13+,Paramount Pictures,Action,7.1,223293.0,"USA, China, United Arab Emirates, Canada"
189,Safe,94.0,18+,Lionsgate Films,Action,6.5,101557.0,USA
192,Leviathan,98.0,18+,MGM Home Entertainment,Action,5.8,18231.0,"USA, Italy"
194,DeepStar Six,99.0,18+,Carolco Pictures,Action,5.4,10162.0,USA
195,Changing Lanes,98.0,18+,Paramount Pictures,Action,6.4,66104.0,USA
196,Bad Boys,123.0,18+,Sony Pictures Home Entertainment,Action,6.9,235440.0,USA
198,Resident Evil: Extinction,94.0,18+,Sony Pictures,Action,6.3,180851.0,"France, Australia, Germany, UK, USA, Mexico, Canada"
200,Back to the Future,116.0,7+,Universal Pictures,Action,8.5,1027330.0,USA
203,Abduction,105.0,13+,Lionsgate Films,Action,4.9,1856.0,China
207,The Ghost and the Darkness,109.0,18+,Paramount Home Video,Action,6.8,55403.0,"Germany, USA"
208,Patriot Games,116.0,18+,Paramount Pictures,Action,6.9,100936.0,USA
210,Chillerama,119.0,18+,Image Entertainment,Action,5.7,4116.0,USA
211,The Adventures of Tintin,106.0,7+,Paramount,Action,7.3,213212.0,"USA, New Zealand, UK, France, Australia"
212,The Alamo,161.0,13+,Buena Vista Pictures,Action,6.0,19363.0,USA
214,Driven,117.0,13+,Warner Bros. Pictures,Action,6.3,1434.0,USA
220,The Saint,116.0,13+,Paramount,Action,6.3,61535.0,USA
222,Wolves,90.0,18+,Ketchup Entertainment,Action,5.7,1075.0,USA
226,Minority Report,145.0,13+,Dreamworks,Action,7.6,498830.0,USA
229,Layer Cake,105.0,18+,Sony Classics,Action,7.3,163745.0,UK
230,Xchange,109.0,18+,Trimark,Action,5.6,2426.0,Canada
231,The Sum of All Fears,123.0,13+,Paramount Pictures,Action,6.4,101506.0,"USA, Germany, Canada"
233,Unstoppable,98.0,13+,20th Century Fox,Action,6.8,181877.0,USA
235,Rio Grande,105.0,13+,Artisan Entertainment,Action,7.1,14026.0,USA
236,Barbarella,98.0,13+,Universal Pictures,Action,5.9,31597.0,"France, Italy"
238,The Blue Lagoon,104.0,18+,Sony Pictures Entertainment,Action,5.8,61645.0,USA
242,The Celestine Prophecy,99.0,7+,Celestine Films,Action,4.9,3557.0,USA
243,Ink,106.0,16+,eOne Entertainment Distribution,Action,6.9,20866.0,USA
245,The Dinosaur Project,82.0,13+,Uncork'd Entertainment,Action,4.6,5059.0,UK
246,The Last of the Mohicans,114.0,18+,Twentieth Century Fox Home Entertainment,Action,7.7,145731.0,USA
254,Jumper,88.0,13+,20th Century Fox,Action,6.1,282968.0,"USA, Canada"
257,Air Force One,124.0,18+,Columbia Pictures,Action,6.5,176882.0,"USA, Germany"
259,Super 8,111.0,13+,Paramount Pictures,Action,7.0,334427.0,USA
262,The Court Jester,101.0,All,Paramount Home Video,Action,7.9,11368.0,USA
263,Cromwell,139.0,All,Columbia Pictures,Action,6.9,4906.0,"UK, USA"
264,Shanghai Noon,110.0,13+,Buena Vista Internationa,Action,6.6,117582.0,"USA, Hong Kong"
266,Legion,97.0,16+,Screen Gems,Action,5.2,97780.0,USA
267,Motorama,89.0,18+,Sony Pictures Home Entertainment,Action,6.4,1701.0,USA
268,Young Ones,99.0,18+,Screen Media Ventures,Action,5.9,9119.0,"South Africa, Ireland, USA"
269,Star Trek: Insurrection,102.0,13+,Paramount Pictures,Action,6.4,69370.0,USA
272,Final Fantasy: The Spirits Within,105.0,13+,Columbia Pictures,NaN,6.4,79526.0,"USA, Japan"
274,The Last Unicorn,92.0,All,Jensen Farley Pictures,NaN,7.5,23902.0,"UK, France, West Germany, Japan, USA"
277,Charlotte's Web,94.0,All,Paramount Pictures,NaN,6.3,36300.0,"USA, Germany, Australia"
283,How to Train Your Dragon,97.0,7+,Paramount/DWA,NaN,8.1,651499.0,USA
287,Howl,80.0,16+,Oscilloscope Pictures,NaN,5.4,11269.0,UK
289,Macbeth,113.0,18+,The Weinstein Company,Art&Foreign,6.7,784.0,UK
294,Priceless,99.0,13+,Samuel Goldwyn Films,Art&Foreign,6.1,3335.0,USA
295,Wuthering Heights,105.0,13+,Media Home Entertainment,Art&Foreign,6.0,9163.0,UK
299,Angel-A,90.0,18+,Sony Pictures Classics,Art&Foreign,7.1,31528.0,France
300,Angela's Ashes,145.0,18+,Paramount Pictures,Art&Foreign,7.3,20095.0,"USA, Ireland"
303,Melancholia,135.0,18+,Magnolia Pictures,Art&Foreign,7.2,164471.0,"Denmark, Sweden, France, Germany"
311,The Love Punch,94.0,13+,Ketchup Entertainment,Art&Foreign,5.8,12677.0,"France, UK"
312,The Whistleblower,111.0,18+,IDP/Samuel goldwyn Films,Art&Foreign,7.1,31171.0,"Canada, Germany"
313,The Field,92.0,13+,Live Home Video,Art&Foreign,4.2,208.0,USA
315,These Final Hours,86.0,13+,Well Go USA,Art&Foreign,6.7,15699.0,Australia
317,The Dark,90.0,18+,Dark Sky Films,Art&Foreign,5.6,4170.0,Austria
323,Evolution,101.0,13+,Les Films du Worso,Art&Foreign,6.1,118060.0,USA
325,The Returned,98.0,13+,levelFILM,Art&Foreign,5.9,7987.0,"Spain, Canada"
328,Descent,96.0,7+,City Lights Pictures,Art&Foreign,4.8,2888.0,USA
330,Dracula,89.0,18+,Universal Studios,Art&Foreign,7.4,187216.0,USA
334,Slipstream,86.0,18+,Strand Releasing,Art&Foreign,4.9,4576.0,USA
337,Harry Brown,103.0,18+,Samuel Goldwyn Films,Art&Foreign,7.2,83355.0,UK
338,Space Truckers,96.0,13+,Sterling Entertainment,Art&Foreign,5.4,6528.0,"UK, USA, Ireland"
339,Blue Hawaii,101.0,7+,Paramount Pictures,Classics,6.2,5371.0,USA
340,The Quiet Man,129.0,13+,Republic Pictures,Classics,7.7,33851.0,USA
341,Pajama Party,85.0,13+,James H. Nicholson Productions,Classics,4.9,886.0,USA
342,Svengali,81.0,18+,Warner Bros.,Classics,5.6,991.0,UK
345,Hans Christian Andersen,112.0,13+,MGM,Classics,6.9,3359.0,USA
353,McLintock!,126.0,All,United Artists,Classics,7.2,12679.0,USA
354,"Die, Monster, Die!",78.0,18+,HBO Video,Classics,5.6,2751.0,UK
355,The Bishop's Wife,110.0,13+,RKO Radio Pictures,Classics,7.6,13635.0,USA
362,The Greatest Story Ever Told,199.0,13+,MGM Home Entertainment,Classics,6.6,8927.0,USA
363,Invasion of the Body Snatchers,80.0,7+,Republic Pictures Home Video,Classics,7.4,50992.0,USA
373,The Big Country,166.0,13+,MGM/UA,Classics,7.9,15338.0,USA
375,Rosemary's Baby,136.0,18+,Paramount Pictures,Classics,8.0,187646.0,USA
376,The Ape,62.0,7+,Monogram,Classics,4.5,889.0,USA
379,Guys and Dolls,149.0,13+,MGM,Classics,7.2,15212.0,USA
380,Death Wish,93.0,18+,Paramount Pictures,Classics,6.4,61564.0,"USA, Canada"
383,Anna Karenina,130.0,18+,WARNER BROTHERS PICTURES,Classics,6.6,89890.0,UK
388,Shane,118.0,13+,Paramount Home Video,Classics,7.6,36277.0,USA
389,The Canterville Ghost,55.0,13+,Warner Home Video,Classics,6.9,2431.0,USA
390,Frankenstein,87.0,16+,Universal Pictures Company,Classics,5.1,2379.0,"USA, Germany"
393,Roman Holiday,118.0,7+,Paramount Pictures,Classics,8.0,124684.0,USA
398,Some Like It Hot,121.0,13+,United Artists,Classics,8.2,238048.0,USA
400,The Giant Gila Monster,73.0,16+,McLendon-Radio Pictures Distributing Com,Classics,3.6,3413.0,USA
405,Catch-22,121.0,18+,Paramount Home Video,Classics,7.1,21551.0,USA
407,Overlord,109.0,18+,Janus Films,Classics,6.6,80870.0,"USA, Canada"
411,The Out-of-Towners,90.0,13+,Paramount Pictures,Classics,5.5,12801.0,USA
413,The Horse Soldiers,0.0,13+,United Artists,Classics,7.2,9277.0,USA
414,Harold and Maude,91.0,7+,Paramount Pictures,Classics,7.9,69468.0,USA
415,The Informer,113.0,18+,Media Home Entertainment,Classics,6.6,15449.0,UK
419,Chinatown,130.0,18+,Paramount Pictures,Classics,8.2,286798.0,USA
424,It's Alive,80.0,13+,Warner Home Video,Classics,3.5,2680.0,USA
430,Little Women,118.0,7+,Metro-Goldwyn-Mayer (MGM),Classics,5.1,1070.0,USA
440,Compulsion,84.0,18+,Fox,Classics,4.5,2829.0,Canada
442,The Jazz Singer,116.0,13+,Warner Bros.,Classics,5.9,3784.0,USA
445,Moulin Rouge,127.0,13+,MGM Home Entertainment,Classics,7.1,4833.0,UK
451,The Last House on the Left,84.0,18+,Hallmark Entertainment,Classics,6.5,84103.0,"USA, UK"
455,To Catch a Thief,106.0,7+,Paramount Pictures,Classics,7.4,62910.0,USA
457,Breakfast at Tiffany's,114.0,13+,Paramount Pictures,Classics,7.6,163106.0,USA
458,Night of the Living Dead,95.0,13+,Continental Distributing Inc.,Classics,5.1,292.0,USA
464,The Odd Couple,105.0,All,Paramount Home Video,Classics,7.7,30880.0,USA
465,Romeo and Juliet,138.0,7+,MGM,Classics,5.3,394.0,USA
471,The Gospel of John,0.0,13+,ThinkFilm,Classics,7.6,622.0,"UK, USA, Morocco"
472,The Most Dangerous Game,62.0,13+,RKO Radio Pictures Inc.,Classics,3.4,226.0,USA
475,Charade,113.0,7+,Madacy Entertainment,Classics,7.9,66360.0,USA
477,A Street Cat Named Bob,102.0,13+,Cleopatra Entertainment,Comedy,7.4,26386.0,UK
482,Seven Psychopaths,110.0,18+,CBS Films,Comedy,7.2,236796.0,"UK, USA"
484,The Full Monty,91.0,18+,Twentieth Century Fox Home Entertainment,Comedy,7.2,97312.0,"UK, USA"
487,I'll See You in My Dreams,96.0,13+,Bleecker Street,Comedy,6.7,6857.0,USA
490,Two Night Stand,86.0,18+,E One Entertainment,Comedy,6.4,64254.0,USA
491,Bottle Shock,108.0,13+,Freestyle Releasing,Comedy,6.8,14859.0,USA
492,This Beautiful Fantastic,92.0,7+,AMBI Distribution,Comedy,6.9,9105.0,"UK, USA"
493,No Such Thing,103.0,18+,United Artists Films/ MGM,Comedy,6.1,3776.0,"USA, Iceland"
494,Strange Wilderness,84.0,18+,Paramount Classics,Comedy,5.3,20765.0,USA
